# Tournament Config: startingPlayers=3, gamesPerPhase=100
# Fallbacks: {"2":{"file":"tournament_j3zvExqh9bhYFcfuzihx_older.csv","topX":5}}
Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,AvgCardsBought,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
68,Eliminated,5,5,10,2,10,29.0%,100,15.02,86.0%,36.0%,38.0%,37.0%,36.0%,29.0%,-,-,-,-,-
69,Eliminated,15,10,6,1,10,29.0%,100,24.52,85.0%,40.0%,44.0%,40.0%,36.0%,29.0%,-,-,-,-,-
70,Eliminated,0,20,6,2,4,28.0%,100,19.35,76.0%,50.0%,43.0%,37.0%,35.0%,28.0%,-,-,-,-,-
71,Eliminated,10,5,6,2,10,28.0%,100,15.94,83.0%,36.0%,37.0%,36.0%,33.0%,28.0%,-,-,-,-,-
72,Eliminated,10,10,6,1,6,28.0%,100,22.59,90.0%,39.0%,36.0%,40.0%,46.0%,28.0%,-,-,-,-,-
73,Eliminated,15,5,8,1,8,28.0%,100,21.20,87.0%,42.0%,49.0%,37.0%,40.0%,28.0%,-,-,-,-,-
74,Eliminated,20,15,6,1,8,28.0%,100,25.78,84.0%,43.0%,40.0%,39.6%,36.0%,28.0%,-,-,-,-,-
75,Eliminated,10,10,10,3,6,27.7%,101,17.12,80.0%,36.0%,37.0%,35.0%,40.0%,27.7%,-,-,-,-,-
76,Eliminated,0,15,6,2,6,27.0%,100,19.62,76.0%,44.0%,35.0%,46.0%,36.0%,27.0%,-,-,-,-,-
77,Eliminated,15,20,6,1,8,27.0%,100,26.42,87.0%,49.0%,39.0%,37.0%,39.0%,27.0%,-,-,-,-,-
78,Eliminated,15,20,8,1,6,27.0%,100,27.31,76.0%,42.0%,43.0%,35.0%,39.0%,27.0%,-,-,-,-,-
79,Eliminated,5,15,10,3,10,25.0%,100,19.57,85.0%,44.0%,49.0%,35.0%,36.0%,25.0%,-,-,-,-,-
80,Eliminated,10,10,8,1,8,24.0%,100,25.69,89.0%,45.0%,45.0%,34.0%,35.0%,24.0%,-,-,-,-,-
81,Eliminated,10,20,10,2,10,23.0%,100,20.61,91.0%,40.0%,38.0%,43.0%,35.0%,23.0%,-,-,-,-,-
82,Eliminated,5,10,10,3,10,22.0%,100,17.59,87.0%,35.0%,37.0%,36.0%,35.0%,22.0%,-,-,-,-,-
83,Eliminated,20,5,6,1,10,22.0%,100,19.68,86.0%,47.0%,35.0%,34.0%,35.0%,22.0%,-,-,-,-,-
84,Eliminated,5,0,6,1,10,20.0%,100,4.37,92.0%,48.0%,40.0%,38.0%,41.0%,20.0%,-,-,-,-,-
85,Eliminated,15,20,8,2,8,33.0%,100,17.63,90.0%,44.0%,39.0%,37.0%,33.0%,-,-,-,-,-,-
86,Eliminated,20,10,8,3,10,33.0%,100,17.48,86.0%,40.0%,35.0%,34.7%,33.0%,-,-,-,-,-,-
87,Eliminated,20,15,8,2,10,33.0%,100,19.88,89.0%,43.0%,43.0%,35.6%,33.0%,-,-,-,-,-,-
88,Eliminated,0,0,6,3,8,32.7%,101,1.75,90.0%,35.0%,34.0%,44.0%,32.7%,-,-,-,-,-,-
89,Eliminated,0,0,6,3,4,32.0%,100,1.30,78.0%,38.0%,39.6%,35.0%,32.0%,-,-,-,-,-,-
90,Eliminated,0,5,4,1,4,32.0%,100,11.41,81.0%,36.0%,42.0%,34.0%,32.0%,-,-,-,-,-,-
91,Eliminated,0,5,6,2,10,32.0%,100,10.81,89.0%,35.0%,35.0%,37.0%,32.0%,-,-,-,-,-,-
92,Eliminated,0,5,10,3,6,32.0%,100,7.89,86.0%,39.0%,40.0%,37.0%,32.0%,-,-,-,-,-,-
93,Eliminated,5,10,6,2,8,32.0%,100,16.25,85.0%,39.0%,38.0%,35.0%,32.0%,-,-,-,-,-,-
94,Eliminated,5,10,6,3,10,32.0%,100,15.88,81.0%,36.0%,34.0%,36.0%,32.0%,-,-,-,-,-,-
95,Eliminated,5,10,10,3,8,32.0%,100,14.85,90.0%,37.0%,44.0%,40.0%,32.0%,-,-,-,-,-,-
96,Eliminated,5,15,6,1,10,32.0%,100,19.58,79.0%,36.0%,37.0%,39.0%,32.0%,-,-,-,-,-,-
97,Eliminated,5,15,6,2,6,32.0%,100,17.42,70.0%,43.0%,36.0%,36.0%,32.0%,-,-,-,-,-,-
98,Eliminated,10,10,6,1,8,32.0%,100,20.04,82.0%,40.0%,36.0%,38.0%,32.0%,-,-,-,-,-,-
99,Eliminated,10,15,8,1,6,32.0%,100,21.97,88.0%,38.0%,34.0%,43.0%,32.0%,-,-,-,-,-,-
100,Eliminated,10,20,8,1,6,32.0%,100,22.03,77.0%,41.0%,52.0%,35.0%,32.0%,-,-,-,-,-,-
101,Eliminated,15,15,8,3,10,32.0%,100,18.10,93.0%,37.0%,37.0%,40.0%,32.0%,-,-,-,-,-,-
102,Eliminated,15,15,10,3,8,32.0%,100,17.06,84.0%,39.0%,38.0%,35.0%,32.0%,-,-,-,-,-,-
103,Eliminated,15,20,6,1,4,32.0%,100,21.43,74.0%,43.0%,36.0%,34.0%,32.0%,-,-,-,-,-,-
104,Eliminated,20,5,8,3,8,32.0%,100,13.36,91.0%,45.0%,37.0%,35.0%,32.0%,-,-,-,-,-,-
105,Eliminated,20,5,10,1,6,32.0%,100,18.25,84.0%,44.0%,45.5%,37.0%,32.0%,-,-,-,-,-,-
106,Eliminated,20,10,8,1,10,32.0%,100,22.19,85.0%,38.0%,49.0%,34.0%,32.0%,-,-,-,-,-,-
107,Eliminated,0,15,6,2,4,31.0%,100,14.95,77.0%,46.0%,42.0%,35.0%,31.0%,-,-,-,-,-,-
108,Eliminated,0,20,6,3,10,31.0%,100,15.17,83.0%,42.0%,39.0%,41.0%,31.0%,-,-,-,-,-,-
109,Eliminated,5,5,10,2,6,31.0%,100,10.45,78.0%,35.0%,39.0%,37.0%,31.0%,-,-,-,-,-,-
110,Eliminated,5,5,10,3,10,31.0%,100,12.31,90.0%,36.0%,42.0%,36.0%,31.0%,-,-,-,-,-,-
111,Eliminated,5,15,6,1,6,31.0%,100,20.25,79.0%,34.0%,36.0%,35.0%,31.0%,-,-,-,-,-,-
112,Eliminated,10,5,8,1,4,31.0%,100,13.62,78.0%,40.0%,36.0%,38.0%,31.0%,-,-,-,-,-,-
113,Eliminated,15,20,6,1,10,31.0%,100,20.09,89.0%,44.0%,53.0%,39.0%,31.0%,-,-,-,-,-,-
114,Eliminated,15,20,8,1,8,31.0%,100,23.57,89.0%,50.0%,40.0%,39.0%,31.0%,-,-,-,-,-,-
115,Eliminated,15,20,8,2,10,31.0%,100,18.51,85.0%,53.0%,39.0%,37.0%,31.0%,-,-,-,-,-,-
116,Eliminated,20,15,8,1,6,31.0%,100,22.39,85.0%,45.0%,36.0%,37.0%,31.0%,-,-,-,-,-,-
117,Eliminated,20,15,8,1,10,31.0%,100,21.43,85.0%,63.0%,37.0%,37.0%,31.0%,-,-,-,-,-,-
118,Eliminated,20,15,6,3,6,30.7%,101,17.37,70.0%,38.0%,40.0%,35.0%,30.7%,-,-,-,-,-,-
119,Eliminated,0,10,10,3,8,30.0%,100,12.40,87.0%,42.0%,34.0%,36.0%,30.0%,-,-,-,-,-,-
120,Eliminated,15,10,8,3,10,30.0%,100,16.69,84.0%,39.0%,40.0%,35.0%,30.0%,-,-,-,-,-,-
121,Eliminated,15,15,8,2,10,30.0%,100,17.83,92.0%,37.0%,34.0%,35.0%,30.0%,-,-,-,-,-,-
122,Eliminated,20,10,8,2,8,30.0%,100,15.69,92.0%,38.0%,35.0%,37.0%,30.0%,-,-,-,-,-,-
123,Eliminated,20,10,8,2,10,30.0%,100,17.37,85.0%,39.0%,36.6%,38.0%,30.0%,-,-,-,-,-,-
124,Eliminated,20,20,8,1,8,30.0%,100,22.56,90.0%,50.0%,35.0%,37.0%,30.0%,-,-,-,-,-,-
125,Eliminated,0,5,8,2,6,29.7%,101,9.71,79.0%,44.0%,36.0%,37.0%,29.7%,-,-,-,-,-,-
126,Eliminated,5,0,6,3,6,29.0%,100,2.55,93.0%,37.0%,35.0%,35.0%,29.0%,-,-,-,-,-,-
127,Eliminated,5,20,6,1,8,29.0%,100,20.05,80.0%,37.6%,37.0%,36.0%,29.0%,-,-,-,-,-,-
128,Eliminated,10,5,8,1,10,29.0%,100,17.45,86.0%,41.0%,36.0%,34.0%,29.0%,-,-,-,-,-,-
129,Eliminated,10,10,6,2,10,29.0%,100,16.76,92.0%,38.0%,40.0%,38.0%,29.0%,-,-,-,-,-,-
130,Eliminated,10,10,8,1,10,29.0%,100,20.83,83.0%,40.0%,36.0%,37.0%,29.0%,-,-,-,-,-,-
131,Eliminated,10,15,8,3,10,29.0%,100,17.43,92.0%,38.0%,41.0%,40.0%,29.0%,-,-,-,-,-,-
132,Eliminated,15,15,6,3,6,29.0%,100,17.06,79.0%,38.0%,34.0%,34.0%,29.0%,-,-,-,-,-,-
133,Eliminated,15,15,8,1,8,29.0%,100,22.92,90.0%,52.0%,36.0%,44.0%,29.0%,-,-,-,-,-,-
134,Eliminated,20,5,8,1,10,29.0%,100,17.46,88.0%,45.0%,55.0%,37.0%,29.0%,-,-,-,-,-,-
135,Eliminated,0,0,6,1,8,28.0%,100,2.50,88.0%,37.6%,42.0%,40.0%,28.0%,-,-,-,-,-,-
136,Eliminated,0,5,8,3,10,28.0%,100,9.56,84.0%,42.0%,34.0%,37.0%,28.0%,-,-,-,-,-,-
137,Eliminated,0,15,6,3,8,28.0%,100,14.55,84.0%,38.0%,35.0%,35.0%,28.0%,-,-,-,-,-,-
138,Eliminated,5,5,6,1,8,28.0%,100,15.84,86.0%,42.0%,43.0%,34.0%,28.0%,-,-,-,-,-,-
139,Eliminated,5,5,6,3,10,28.0%,100,13.03,92.0%,36.0%,37.0%,37.0%,28.0%,-,-,-,-,-,-
140,Eliminated,10,5,10,2,8,28.0%,100,12.63,90.0%,42.0%,38.0%,36.0%,28.0%,-,-,-,-,-,-
141,Eliminated,10,15,8,3,8,28.0%,100,17.72,86.0%,43.0%,38.0%,35.0%,28.0%,-,-,-,-,-,-
142,Eliminated,10,15,10,3,8,28.0%,100,16.95,81.0%,42.0%,47.0%,46.0%,28.0%,-,-,-,-,-,-
143,Eliminated,10,20,6,1,8,28.0%,100,21.23,88.0%,43.0%,34.0%,40.0%,28.0%,-,-,-,-,-,-
144,Eliminated,10,20,10,1,8,28.0%,100,24.12,82.0%,49.0%,37.0%,35.0%,28.0%,-,-,-,-,-,-
145,Eliminated,15,5,10,1,10,28.0%,100,19.29,85.0%,44.0%,37.0%,34.0%,28.0%,-,-,-,-,-,-
146,Eliminated,15,20,6,2,10,28.0%,100,17.59,88.0%,36.0%,37.0%,35.0%,28.0%,-,-,-,-,-,-
147,Eliminated,20,10,8,1,8,28.0%,100,22.16,90.0%,39.0%,38.0%,37.0%,28.0%,-,-,-,-,-,-
148,Eliminated,0,5,6,2,6,27.0%,100,9.64,82.0%,39.0%,39.0%,44.0%,27.0%,-,-,-,-,-,-
149,Eliminated,0,10,6,2,8,27.0%,100,14.11,84.0%,41.0%,37.0%,43.0%,27.0%,-,-,-,-,-,-
150,Eliminated,10,5,8,3,10,27.0%,100,13.38,87.0%,38.0%,36.0%,35.0%,27.0%,-,-,-,-,-,-
151,Eliminated,0,10,4,2,8,26.0%,100,13.19,80.0%,36.0%,34.0%,34.0%,26.0%,-,-,-,-,-,-
152,Eliminated,0,20,8,3,6,26.0%,100,15.22,79.0%,38.0%,47.0%,42.0%,26.0%,-,-,-,-,-,-
153,Eliminated,10,15,6,1,10,26.0%,100,20.40,87.0%,39.0%,41.0%,37.0%,26.0%,-,-,-,-,-,-
154,Eliminated,10,20,8,3,10,26.0%,100,17.17,91.0%,44.0%,38.0%,38.0%,26.0%,-,-,-,-,-,-
155,Eliminated,15,5,8,3,10,26.0%,100,12.92,83.0%,40.0%,40.0%,38.0%,26.0%,-,-,-,-,-,-
156,Eliminated,15,5,10,2,10,26.0%,100,12.50,88.0%,41.0%,38.0%,35.0%,26.0%,-,-,-,-,-,-
157,Eliminated,15,20,8,3,6,26.0%,100,17.05,85.0%,39.0%,38.0%,35.0%,26.0%,-,-,-,-,-,-
158,Eliminated,20,10,10,3,8,25.7%,101,16.47,83.0%,35.0%,42.0%,34.0%,25.7%,-,-,-,-,-,-
159,Eliminated,0,15,6,3,4,25.0%,100,13.21,69.0%,47.0%,39.0%,36.0%,25.0%,-,-,-,-,-,-
160,Eliminated,5,5,4,1,6,25.0%,100,14.10,73.0%,37.0%,35.0%,34.0%,25.0%,-,-,-,-,-,-
161,Eliminated,10,5,6,1,8,25.0%,100,16.32,86.0%,41.0%,48.0%,36.0%,25.0%,-,-,-,-,-,-
162,Eliminated,15,10,6,3,8,24.0%,100,16.81,85.0%,38.0%,34.0%,36.0%,24.0%,-,-,-,-,-,-
163,Eliminated,5,0,6,2,8,23.0%,100,2.99,93.0%,45.0%,35.0%,35.0%,23.0%,-,-,-,-,-,-
164,Eliminated,10,20,10,1,10,23.0%,100,22.35,84.0%,61.0%,46.0%,38.0%,23.0%,-,-,-,-,-,-
165,Eliminated,20,10,8,1,4,23.0%,100,19.18,73.0%,41.6%,40.0%,46.5%,23.0%,-,-,-,-,-,-
166,Eliminated,10,20,6,1,6,22.0%,100,22.68,82.0%,36.0%,44.0%,44.6%,22.0%,-,-,-,-,-,-
167,Eliminated,5,5,4,1,10,21.0%,100,14.83,82.0%,39.0%,40.0%,35.0%,21.0%,-,-,-,-,-,-
168,Eliminated,15,15,10,1,10,20.0%,100,23.35,82.0%,50.0%,37.0%,34.0%,20.0%,-,-,-,-,-,-
169,Eliminated,0,0,8,2,8,33.0%,100,1.31,93.0%,39.0%,38.0%,33.0%,-,-,-,-,-,-,-
170,Eliminated,0,15,8,3,6,33.0%,100,11.52,78.0%,44.0%,36.0%,33.0%,-,-,-,-,-,-,-
171,Eliminated,5,0,8,1,6,33.0%,100,2.49,90.0%,38.0%,40.0%,33.0%,-,-,-,-,-,-,-
172,Eliminated,5,5,6,1,4,33.0%,100,10.90,73.0%,35.0%,42.0%,33.0%,-,-,-,-,-,-,-
173,Eliminated,5,10,8,1,4,33.0%,100,13.98,75.0%,37.0%,41.0%,33.0%,-,-,-,-,-,-,-
174,Eliminated,5,10,8,1,6,33.0%,100,15.76,79.0%,44.0%,35.0%,33.0%,-,-,-,-,-,-,-
175,Eliminated,5,15,6,3,6,33.0%,100,12.21,77.0%,42.0%,38.0%,33.0%,-,-,-,-,-,-,-
176,Eliminated,5,15,10,3,8,33.0%,100,13.21,83.0%,36.0%,38.0%,33.0%,-,-,-,-,-,-,-
177,Eliminated,5,20,6,2,6,33.0%,100,12.98,85.0%,37.0%,38.0%,33.0%,-,-,-,-,-,-,-
178,Eliminated,5,20,6,2,10,33.0%,100,14.27,87.0%,45.0%,37.0%,33.0%,-,-,-,-,-,-,-
179,Eliminated,10,5,6,1,6,33.0%,100,12.52,91.0%,48.0%,55.0%,33.0%,-,-,-,-,-,-,-
180,Eliminated,10,5,8,2,10,33.0%,100,10.74,89.0%,40.0%,50.0%,33.0%,-,-,-,-,-,-,-
181,Eliminated,10,10,6,3,8,33.0%,100,12.89,83.0%,39.0%,35.0%,33.0%,-,-,-,-,-,-,-
182,Eliminated,10,20,8,1,8,33.0%,100,17.46,83.0%,47.0%,40.0%,33.0%,-,-,-,-,-,-,-
183,Eliminated,10,20,8,2,10,33.0%,100,14.00,86.0%,44.6%,43.0%,33.0%,-,-,-,-,-,-,-
184,Eliminated,10,20,10,1,6,33.0%,100,17.94,84.0%,46.0%,34.0%,33.0%,-,-,-,-,-,-,-
185,Eliminated,15,5,4,1,10,33.0%,100,11.52,80.0%,41.0%,40.0%,33.0%,-,-,-,-,-,-,-
186,Eliminated,15,5,6,1,4,33.0%,100,11.14,77.0%,34.0%,38.0%,33.0%,-,-,-,-,-,-,-
187,Eliminated,15,5,6,1,10,33.0%,100,13.36,93.0%,44.0%,57.0%,33.0%,-,-,-,-,-,-,-
188,Eliminated,15,20,8,1,4,33.0%,100,16.21,77.0%,39.0%,42.0%,33.0%,-,-,-,-,-,-,-
189,Eliminated,15,20,8,3,10,33.0%,100,13.69,85.0%,52.0%,40.0%,33.0%,-,-,-,-,-,-,-
190,Eliminated,20,10,6,1,10,33.0%,100,16.14,85.0%,40.0%,35.0%,33.0%,-,-,-,-,-,-,-
191,Eliminated,0,10,6,3,6,32.7%,101,9.48,75.0%,46.0%,36.0%,32.7%,-,-,-,-,-,-,-
192,Eliminated,20,15,8,1,8,32.7%,101,17.87,86.0%,45.0%,36.0%,32.7%,-,-,-,-,-,-,-
193,Eliminated,0,5,8,3,6,32.0%,100,6.50,86.0%,42.0%,38.0%,32.0%,-,-,-,-,-,-,-
194,Eliminated,0,10,8,3,8,32.0%,100,10.03,85.0%,34.0%,44.0%,32.0%,-,-,-,-,-,-,-
195,Eliminated,0,15,10,3,6,32.0%,100,10.83,76.0%,41.0%,41.0%,32.0%,-,-,-,-,-,-,-
196,Eliminated,0,15,10,3,10,32.0%,100,11.38,87.0%,44.0%,35.0%,32.0%,-,-,-,-,-,-,-
197,Eliminated,0,20,8,3,4,32.0%,100,10.35,68.0%,37.0%,37.0%,32.0%,-,-,-,-,-,-,-
198,Eliminated,5,5,6,2,10,32.0%,100,10.46,85.0%,38.0%,36.0%,32.0%,-,-,-,-,-,-,-
