Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,AvgCardsBought,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
65,Eliminated,10,5,10,3,10,42.0%,50,16.98,88.0%,60.0%,58.0%,54.0%,52.0%,42.0%,-,-,-,-,-
66,Eliminated,10,10,6,3,6,42.0%,50,19.64,88.0%,52.0%,64.0%,58.0%,60.0%,42.0%,-,-,-,-,-
67,Eliminated,15,5,10,3,6,42.0%,50,14.52,88.0%,66.0%,70.0%,60.0%,52.0%,42.0%,-,-,-,-,-
68,Eliminated,0,5,6,3,6,40.0%,50,10.38,86.0%,66.0%,64.0%,54.0%,54.0%,40.0%,-,-,-,-,-
69,Eliminated,5,0,10,3,4,40.0%,50,5.72,86.0%,64.0%,50.0%,56.0%,54.0%,40.0%,-,-,-,-,-
70,Eliminated,5,20,6,3,6,40.0%,50,20.08,82.0%,54.0%,56.0%,54.0%,58.0%,40.0%,-,-,-,-,-
71,Eliminated,10,15,6,3,8,40.0%,50,21.18,84.0%,62.0%,56.0%,52.0%,56.0%,40.0%,-,-,-,-,-
72,Eliminated,10,15,8,3,6,40.0%,50,21.86,86.0%,64.0%,52.0%,52.0%,60.0%,40.0%,-,-,-,-,-
73,Eliminated,20,10,10,2,6,40.0%,50,20.40,92.0%,52.0%,64.0%,52.0%,60.0%,40.0%,-,-,-,-,-
74,Eliminated,5,5,10,3,6,38.0%,50,13.54,82.0%,52.0%,62.0%,56.0%,56.0%,38.0%,-,-,-,-,-
75,Eliminated,10,10,10,3,6,36.0%,50,18.98,86.0%,56.0%,56.0%,62.0%,52.0%,36.0%,-,-,-,-,-
76,Eliminated,15,10,8,3,4,36.0%,50,19.20,80.0%,52.0%,56.0%,62.0%,54.0%,36.0%,-,-,-,-,-
77,Eliminated,20,0,4,1,6,36.0%,50,8.02,100.0%,60.0%,64.0%,58.0%,60.0%,36.0%,-,-,-,-,-
78,Eliminated,0,5,4,2,4,34.0%,50,10.24,90.0%,64.0%,58.0%,58.0%,52.0%,34.0%,-,-,-,-,-
79,Eliminated,20,0,4,1,8,34.0%,50,7.94,98.0%,64.0%,58.0%,56.0%,56.0%,34.0%,-,-,-,-,-
80,Eliminated,20,10,10,3,6,32.7%,49,21.08,76.0%,72.0%,62.0%,56.0%,56.0%,32.7%,-,-,-,-,-
81,Eliminated,0,5,6,3,2,32.0%,50,9.42,72.0%,64.0%,62.0%,64.0%,60.0%,32.0%,-,-,-,-,-
82,Eliminated,0,15,8,3,6,32.0%,50,16.44,80.0%,54.0%,58.0%,52.0%,50.0%,32.0%,-,-,-,-,-
83,Eliminated,15,5,6,3,8,32.0%,50,16.54,86.0%,56.0%,54.0%,56.0%,52.0%,32.0%,-,-,-,-,-
84,Eliminated,5,10,6,3,6,30.0%,50,18.82,88.0%,68.0%,54.0%,62.0%,60.0%,30.0%,-,-,-,-,-
85,Eliminated,10,0,8,3,10,50.0%,50,6.72,100.0%,62.0%,56.0%,54.0%,50.0%,-,-,-,-,-,-
86,Eliminated,10,5,8,2,6,50.0%,50,12.70,90.0%,62.0%,54.0%,54.0%,50.0%,-,-,-,-,-,-
87,Eliminated,15,0,4,1,4,50.0%,50,6.20,94.0%,60.0%,64.0%,64.0%,50.0%,-,-,-,-,-,-
88,Eliminated,15,0,4,1,8,50.0%,50,6.40,96.0%,64.0%,54.0%,58.0%,50.0%,-,-,-,-,-,-
89,Eliminated,15,5,8,2,8,50.0%,50,14.10,94.0%,56.0%,56.0%,62.0%,50.0%,-,-,-,-,-,-
90,Eliminated,15,10,10,3,8,50.0%,50,16.64,86.0%,72.0%,64.0%,52.0%,50.0%,-,-,-,-,-,-
91,Eliminated,15,15,8,2,6,50.0%,50,18.78,82.0%,64.0%,66.0%,60.0%,50.0%,-,-,-,-,-,-
92,Eliminated,20,0,4,2,6,50.0%,50,5.80,96.0%,52.0%,56.0%,54.0%,50.0%,-,-,-,-,-,-
93,Eliminated,20,5,8,3,4,50.0%,50,11.64,88.0%,64.0%,52.0%,68.0%,50.0%,-,-,-,-,-,-
94,Eliminated,0,0,4,3,4,48.0%,50,3.78,80.0%,74.0%,68.0%,52.0%,48.0%,-,-,-,-,-,-
95,Eliminated,0,10,8,3,4,48.0%,50,12.58,74.0%,72.0%,56.0%,52.0%,48.0%,-,-,-,-,-,-
96,Eliminated,5,0,6,3,6,48.0%,50,5.84,96.0%,58.0%,60.0%,52.0%,48.0%,-,-,-,-,-,-
