Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
85,Eliminated,20,0,10,2,8,51.0%,200,96.5%,66.5%,58.0%,57.5%,51.0%,-,-,-,-,-,-
86,Eliminated,20,5,8,3,6,51.0%,200,90.0%,58.5%,54.0%,51.5%,51.0%,-,-,-,-,-,-
87,Eliminated,20,10,8,2,6,51.0%,200,88.5%,56.0%,59.0%,51.5%,51.0%,-,-,-,-,-,-
88,Eliminated,15,5,6,2,4,50.5%,200,86.5%,61.0%,55.0%,56.0%,50.5%,-,-,-,-,-,-
89,Eliminated,15,5,8,2,6,50.5%,200,88.0%,60.5%,59.0%,55.5%,50.5%,-,-,-,-,-,-
90,Eliminated,20,0,6,1,8,50.5%,200,97.0%,58.5%,51.5%,55.0%,50.5%,-,-,-,-,-,-
91,Eliminated,0,0,6,3,6,50.0%,200,91.5%,51.5%,57.0%,57.0%,50.0%,-,-,-,-,-,-
92,Eliminated,20,5,8,2,4,50.0%,200,87.0%,61.0%,54.0%,56.0%,50.0%,-,-,-,-,-,-
93,Eliminated,0,0,4,2,4,49.5%,200,83.5%,64.0%,54.0%,59.5%,49.5%,-,-,-,-,-,-
94,Eliminated,10,0,4,2,8,49.5%,200,94.0%,57.5%,54.0%,50.5%,49.5%,-,-,-,-,-,-
95,Eliminated,15,0,4,1,4,49.5%,200,92.5%,54.5%,58.0%,55.5%,49.5%,-,-,-,-,-,-
96,Eliminated,15,0,4,1,6,49.5%,200,94.5%,57.5%,59.0%,53.0%,49.5%,-,-,-,-,-,-
97,Eliminated,20,0,8,1,10,49.5%,200,94.5%,54.5%,51.0%,50.5%,49.5%,-,-,-,-,-,-
98,Eliminated,10,0,10,3,4,49.0%,200,89.0%,58.5%,53.0%,53.0%,49.0%,-,-,-,-,-,-
99,Eliminated,20,0,8,2,4,49.0%,200,92.5%,56.0%,54.0%,53.5%,49.0%,-,-,-,-,-,-
100,Eliminated,20,5,8,2,6,49.0%,200,91.0%,66.5%,57.5%,53.5%,49.0%,-,-,-,-,-,-
101,Eliminated,20,5,10,2,6,48.8%,201,86.0%,58.5%,55.0%,57.5%,48.8%,-,-,-,-,-,-
102,Eliminated,5,0,8,3,10,48.5%,200,96.5%,60.5%,51.5%,56.0%,48.5%,-,-,-,-,-,-
103,Eliminated,10,0,4,2,4,48.5%,200,90.0%,52.0%,57.5%,55.0%,48.5%,-,-,-,-,-,-
104,Eliminated,15,5,10,3,8,48.5%,200,91.0%,60.5%,54.5%,57.0%,48.5%,-,-,-,-,-,-
105,Eliminated,10,0,10,3,10,48.0%,200,96.5%,69.5%,57.5%,52.0%,48.0%,-,-,-,-,-,-
106,Eliminated,10,5,10,3,6,48.0%,200,91.0%,61.5%,56.5%,56.0%,48.0%,-,-,-,-,-,-
107,Eliminated,20,0,4,1,8,48.0%,200,93.5%,53.5%,60.0%,55.5%,48.0%,-,-,-,-,-,-
108,Eliminated,20,0,4,2,8,48.0%,200,91.5%,55.0%,52.5%,52.5%,48.0%,-,-,-,-,-,-
109,Eliminated,0,0,8,3,8,47.5%,200,93.0%,60.5%,54.0%,52.5%,47.5%,-,-,-,-,-,-
110,Eliminated,0,0,10,3,4,47.5%,200,86.5%,65.0%,60.5%,52.0%,47.5%,-,-,-,-,-,-
111,Eliminated,0,5,8,3,4,47.5%,200,85.0%,63.5%,61.0%,50.5%,47.5%,-,-,-,-,-,-
112,Eliminated,20,5,6,3,4,47.5%,200,89.0%,62.5%,52.5%,53.0%,47.5%,-,-,-,-,-,-
113,Eliminated,0,0,4,3,4,47.0%,200,83.5%,59.5%,52.0%,58.0%,47.0%,-,-,-,-,-,-
114,Eliminated,5,0,6,3,10,47.0%,200,97.5%,66.0%,60.0%,52.5%,47.0%,-,-,-,-,-,-
115,Eliminated,15,0,8,2,10,47.0%,200,97.5%,64.0%,51.0%,55.5%,47.0%,-,-,-,-,-,-
116,Eliminated,15,10,8,3,6,47.0%,200,88.5%,58.0%,53.5%,60.0%,47.0%,-,-,-,-,-,-
117,Eliminated,20,0,4,1,4,47.0%,200,91.5%,58.5%,59.0%,57.5%,47.0%,-,-,-,-,-,-
118,Eliminated,0,0,4,2,6,46.5%,200,86.5%,55.0%,56.5%,52.5%,46.5%,-,-,-,-,-,-
119,Eliminated,0,0,6,2,4,46.5%,200,89.0%,65.5%,50.0%,56.0%,46.5%,-,-,-,-,-,-
120,Eliminated,10,0,4,3,6,46.5%,200,94.0%,55.0%,52.0%,54.5%,46.5%,-,-,-,-,-,-
121,Eliminated,15,5,8,3,4,46.5%,200,82.5%,58.5%,51.0%,57.5%,46.5%,-,-,-,-,-,-
122,Eliminated,15,10,6,3,6,46.5%,200,85.5%,52.5%,62.5%,53.0%,46.5%,-,-,-,-,-,-
123,Eliminated,15,15,6,3,6,46.5%,200,83.5%,58.0%,55.5%,50.5%,46.5%,-,-,-,-,-,-
124,Eliminated,15,0,4,2,6,46.0%,200,92.0%,58.0%,53.5%,52.5%,46.0%,-,-,-,-,-,-
125,Eliminated,20,10,6,3,6,46.0%,200,83.0%,54.0%,53.5%,53.5%,46.0%,-,-,-,-,-,-
126,Eliminated,20,10,10,3,6,46.0%,200,86.5%,58.0%,64.0%,54.5%,46.0%,-,-,-,-,-,-
127,Eliminated,15,0,10,3,10,45.5%,200,97.0%,71.5%,64.0%,55.0%,45.5%,-,-,-,-,-,-
128,Eliminated,15,5,8,2,8,45.5%,200,92.0%,53.0%,54.0%,53.0%,45.5%,-,-,-,-,-,-
129,Eliminated,15,10,8,2,6,45.0%,200,86.0%,57.0%,56.5%,57.0%,45.0%,-,-,-,-,-,-
130,Eliminated,5,5,10,3,6,44.5%,200,89.5%,64.5%,65.5%,53.0%,44.5%,-,-,-,-,-,-
131,Eliminated,10,5,8,2,4,44.5%,200,90.5%,59.0%,53.5%,55.5%,44.5%,-,-,-,-,-,-
132,Eliminated,0,0,8,3,2,44.0%,200,78.0%,54.0%,51.5%,52.5%,44.0%,-,-,-,-,-,-
133,Eliminated,0,0,8,3,4,44.0%,200,86.5%,62.5%,53.5%,59.5%,44.0%,-,-,-,-,-,-
134,Eliminated,20,10,8,2,8,44.0%,200,92.0%,58.5%,51.0%,53.5%,44.0%,-,-,-,-,-,-
135,Eliminated,20,10,8,3,8,43.5%,200,87.5%,53.0%,52.0%,54.0%,43.5%,-,-,-,-,-,-
136,Eliminated,5,5,6,3,4,43.0%,200,84.5%,57.5%,51.0%,53.0%,43.0%,-,-,-,-,-,-
137,Eliminated,15,10,6,2,6,43.0%,200,87.5%,58.5%,59.0%,50.5%,43.0%,-,-,-,-,-,-
138,Eliminated,5,0,4,2,6,42.5%,200,88.5%,62.5%,56.5%,57.0%,42.5%,-,-,-,-,-,-
139,Eliminated,5,5,8,3,6,42.5%,200,85.5%,63.0%,59.0%,54.0%,42.5%,-,-,-,-,-,-
140,Eliminated,15,20,6,3,6,42.5%,200,89.0%,57.5%,64.0%,52.5%,42.5%,-,-,-,-,-,-
141,Eliminated,10,0,4,1,10,42.0%,200,93.0%,56.5%,58.0%,53.0%,42.0%,-,-,-,-,-,-
142,Eliminated,15,10,10,3,6,42.0%,200,80.0%,64.5%,54.0%,56.0%,42.0%,-,-,-,-,-,-
143,Eliminated,20,10,10,2,4,42.0%,200,80.5%,60.5%,51.5%,54.0%,42.0%,-,-,-,-,-,-
144,Eliminated,20,15,6,2,8,42.0%,200,83.0%,53.5%,58.0%,53.0%,42.0%,-,-,-,-,-,-
145,Eliminated,5,10,6,3,6,41.5%,200,83.0%,61.0%,60.5%,52.5%,41.5%,-,-,-,-,-,-
