Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
1279,Eliminated,20,15,2,1,2,34.0%,200,71.5%,34.0%,-,-,-,-,-,-,-,-,-
1280,Eliminated,0,0,10,2,10,33.5%,200,72.0%,33.5%,-,-,-,-,-,-,-,-,-
1281,Eliminated,5,0,8,1,4,33.5%,200,77.5%,33.5%,-,-,-,-,-,-,-,-,-
1282,Eliminated,5,5,0,2,8,33.5%,200,72.0%,33.5%,-,-,-,-,-,-,-,-,-
1283,Eliminated,10,10,4,1,6,33.5%,200,73.5%,33.5%,-,-,-,-,-,-,-,-,-
1284,Eliminated,15,0,8,3,0,33.5%,200,73.0%,33.5%,-,-,-,-,-,-,-,-,-
1285,Eliminated,15,0,10,1,10,33.5%,200,73.5%,33.5%,-,-,-,-,-,-,-,-,-
1286,Eliminated,20,0,4,2,2,33.5%,200,84.5%,33.5%,-,-,-,-,-,-,-,-,-
1287,Eliminated,20,0,6,1,2,33.5%,200,79.0%,33.5%,-,-,-,-,-,-,-,-,-
1288,Eliminated,0,15,6,2,4,33.0%,200,71.5%,33.0%,-,-,-,-,-,-,-,-,-
1289,Eliminated,5,0,6,3,0,33.0%,200,71.0%,33.0%,-,-,-,-,-,-,-,-,-
1290,Eliminated,5,0,10,2,2,33.0%,200,72.5%,33.0%,-,-,-,-,-,-,-,-,-
1291,Eliminated,5,10,8,2,10,33.0%,200,77.5%,33.0%,-,-,-,-,-,-,-,-,-
1292,Eliminated,10,15,4,1,8,33.0%,200,72.5%,33.0%,-,-,-,-,-,-,-,-,-
1293,Eliminated,0,0,2,1,8,32.5%,200,73.5%,32.5%,-,-,-,-,-,-,-,-,-
1294,Eliminated,0,0,2,1,10,32.5%,200,70.5%,32.5%,-,-,-,-,-,-,-,-,-
1295,Eliminated,5,0,6,1,0,32.5%,200,70.5%,32.5%,-,-,-,-,-,-,-,-,-
1296,Eliminated,5,10,0,2,8,32.5%,200,71.0%,32.5%,-,-,-,-,-,-,-,-,-
1297,Eliminated,5,20,6,2,10,32.5%,200,73.0%,32.5%,-,-,-,-,-,-,-,-,-
1298,Eliminated,10,0,10,1,8,32.5%,200,74.5%,32.5%,-,-,-,-,-,-,-,-,-
1299,Eliminated,15,15,0,2,8,32.5%,200,71.0%,32.5%,-,-,-,-,-,-,-,-,-
1300,Eliminated,15,20,2,1,6,32.5%,200,71.0%,32.5%,-,-,-,-,-,-,-,-,-
1301,Eliminated,20,5,0,1,10,32.5%,200,80.0%,32.5%,-,-,-,-,-,-,-,-,-
1302,Eliminated,5,20,0,2,8,32.0%,200,71.0%,32.0%,-,-,-,-,-,-,-,-,-
1303,Eliminated,10,5,6,1,8,32.0%,200,76.0%,32.0%,-,-,-,-,-,-,-,-,-
1304,Eliminated,15,5,6,1,8,32.0%,200,78.0%,32.0%,-,-,-,-,-,-,-,-,-
1305,Eliminated,5,0,4,1,0,31.5%,200,72.0%,31.5%,-,-,-,-,-,-,-,-,-
1306,Eliminated,10,5,6,1,6,31.5%,200,82.5%,31.5%,-,-,-,-,-,-,-,-,-
1307,Eliminated,10,10,0,2,8,31.5%,200,75.5%,31.5%,-,-,-,-,-,-,-,-,-
1308,Eliminated,15,5,8,1,2,31.5%,200,70.5%,31.5%,-,-,-,-,-,-,-,-,-
1309,Eliminated,15,20,4,1,6,31.5%,200,71.0%,31.5%,-,-,-,-,-,-,-,-,-
1310,Eliminated,20,5,6,1,8,31.5%,200,78.5%,31.5%,-,-,-,-,-,-,-,-,-
1311,Eliminated,20,5,6,1,10,31.5%,200,76.0%,31.5%,-,-,-,-,-,-,-,-,-
1312,Eliminated,5,0,4,2,2,31.0%,200,74.5%,31.0%,-,-,-,-,-,-,-,-,-
1313,Eliminated,5,0,6,1,6,31.0%,200,90.5%,31.0%,-,-,-,-,-,-,-,-,-
1314,Eliminated,15,0,10,2,0,31.0%,200,74.0%,31.0%,-,-,-,-,-,-,-,-,-
1315,Eliminated,20,0,8,1,2,31.0%,200,81.0%,31.0%,-,-,-,-,-,-,-,-,-
1316,Eliminated,20,10,4,1,10,31.0%,200,74.5%,31.0%,-,-,-,-,-,-,-,-,-
1317,Eliminated,20,15,4,1,6,31.0%,200,72.0%,31.0%,-,-,-,-,-,-,-,-,-
1318,Eliminated,15,10,6,1,4,30.5%,200,74.0%,30.5%,-,-,-,-,-,-,-,-,-
1319,Eliminated,20,5,8,1,6,30.0%,200,83.5%,30.0%,-,-,-,-,-,-,-,-,-
1320,Eliminated,5,0,6,1,2,29.5%,200,75.5%,29.5%,-,-,-,-,-,-,-,-,-
1321,Eliminated,5,0,8,1,10,29.5%,200,85.5%,29.5%,-,-,-,-,-,-,-,-,-
1322,Eliminated,5,0,10,2,0,29.5%,200,74.0%,29.5%,-,-,-,-,-,-,-,-,-
1323,Eliminated,5,5,4,1,4,29.5%,200,74.5%,29.5%,-,-,-,-,-,-,-,-,-
1324,Eliminated,5,0,8,1,6,29.0%,200,87.5%,29.0%,-,-,-,-,-,-,-,-,-
1325,Eliminated,10,0,10,1,2,29.0%,200,76.0%,29.0%,-,-,-,-,-,-,-,-,-
1326,Eliminated,15,5,8,1,6,29.0%,200,78.5%,29.0%,-,-,-,-,-,-,-,-,-
1327,Eliminated,20,15,6,1,6,29.0%,200,72.5%,29.0%,-,-,-,-,-,-,-,-,-
1328,Eliminated,5,0,8,1,8,28.5%,200,81.5%,28.5%,-,-,-,-,-,-,-,-,-
1329,Eliminated,10,0,10,1,4,28.5%,200,79.5%,28.5%,-,-,-,-,-,-,-,-,-
1330,Eliminated,10,5,4,1,8,28.5%,200,74.5%,28.5%,-,-,-,-,-,-,-,-,-
1331,Eliminated,15,0,6,1,0,28.5%,200,71.0%,28.5%,-,-,-,-,-,-,-,-,-
1332,Eliminated,15,0,8,1,2,28.5%,200,84.5%,28.5%,-,-,-,-,-,-,-,-,-
1333,Eliminated,0,0,4,1,6,28.0%,200,71.5%,28.0%,-,-,-,-,-,-,-,-,-
1334,Eliminated,0,0,8,1,0,27.5%,200,71.0%,27.5%,-,-,-,-,-,-,-,-,-
1335,Eliminated,15,0,8,1,0,27.5%,200,74.0%,27.5%,-,-,-,-,-,-,-,-,-
1336,Eliminated,0,5,6,2,10,27.0%,200,75.5%,27.0%,-,-,-,-,-,-,-,-,-
1337,Eliminated,20,0,10,1,2,27.0%,200,72.0%,27.0%,-,-,-,-,-,-,-,-,-
1338,Eliminated,15,10,4,1,6,26.5%,200,74.0%,26.5%,-,-,-,-,-,-,-,-,-
1339,Eliminated,0,0,4,1,10,26.0%,200,71.5%,26.0%,-,-,-,-,-,-,-,-,-
1340,Eliminated,5,5,6,1,4,26.0%,200,70.5%,26.0%,-,-,-,-,-,-,-,-,-
1341,Eliminated,0,0,4,1,8,25.5%,200,76.5%,25.5%,-,-,-,-,-,-,-,-,-
1342,Eliminated,0,5,8,2,8,25.0%,200,74.0%,25.0%,-,-,-,-,-,-,-,-,-
1343,Eliminated,15,10,6,1,6,24.5%,200,71.0%,24.5%,-,-,-,-,-,-,-,-,-
1344,Eliminated,10,5,8,1,6,24.0%,200,72.5%,24.0%,-,-,-,-,-,-,-,-,-
1345,Eliminated,10,10,6,1,6,23.5%,200,70.5%,23.5%,-,-,-,-,-,-,-,-,-
1346,Eliminated,10,5,6,1,10,23.0%,200,72.5%,23.0%,-,-,-,-,-,-,-,-,-
1347,Eliminated,5,5,6,1,6,20.5%,200,71.0%,20.5%,-,-,-,-,-,-,-,-,-
1348,Eliminated,15,5,6,1,10,20.5%,200,77.0%,20.5%,-,-,-,-,-,-,-,-,-
1349,Eliminated,20,5,8,1,8,18.0%,200,71.0%,18.0%,-,-,-,-,-,-,-,-,-
1350,Eliminated,0,0,6,1,8,12.0%,200,70.5%,12.0%,-,-,-,-,-,-,-,-,-
1351,Eliminated,15,15,2,2,6,70.5%,200,70.5%,-,-,-,-,-,-,-,-,-,-
1352,Eliminated,15,15,10,2,2,70.5%,200,70.5%,-,-,-,-,-,-,-,-,-,-
1353,Eliminated,15,15,10,3,2,70.5%,200,70.5%,-,-,-,-,-,-,-,-,-,-
1354,Eliminated,15,20,4,2,2,70.5%,200,70.5%,-,-,-,-,-,-,-,-,-,-
1355,Eliminated,15,20,6,3,2,70.5%,200,70.5%,-,-,-,-,-,-,-,-,-,-
1356,Eliminated,20,0,6,3,0,70.5%,200,70.5%,-,-,-,-,-,-,-,-,-,-
1357,Eliminated,20,5,0,2,10,70.5%,200,70.5%,-,-,-,-,-,-,-,-,-,-
1358,Eliminated,20,5,4,3,0,70.5%,200,70.5%,-,-,-,-,-,-,-,-,-,-
1359,Eliminated,20,10,0,2,10,70.5%,200,70.5%,-,-,-,-,-,-,-,-,-,-
1360,Eliminated,20,10,6,1,4,70.5%,200,70.5%,-,-,-,-,-,-,-,-,-,-
1361,Eliminated,20,10,10,2,2,70.5%,200,70.5%,-,-,-,-,-,-,-,-,-,-
1362,Eliminated,20,15,2,1,8,70.5%,200,70.5%,-,-,-,-,-,-,-,-,-,-
1363,Eliminated,20,15,8,2,2,70.5%,200,70.5%,-,-,-,-,-,-,-,-,-,-
1364,Eliminated,20,20,4,1,6,70.5%,200,70.5%,-,-,-,-,-,-,-,-,-,-
1365,Eliminated,20,20,6,2,2,70.5%,200,70.5%,-,-,-,-,-,-,-,-,-,-
1366,Eliminated,0,0,0,2,0,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1367,Eliminated,0,0,6,3,0,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1368,Eliminated,0,0,8,3,0,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1369,Eliminated,0,5,2,3,2,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1370,Eliminated,0,10,2,3,4,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1371,Eliminated,0,10,6,2,4,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1372,Eliminated,0,15,4,3,8,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1373,Eliminated,0,15,6,3,2,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1374,Eliminated,0,20,6,3,6,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1375,Eliminated,5,5,2,1,10,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1376,Eliminated,5,15,0,3,6,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1377,Eliminated,5,15,4,2,8,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1378,Eliminated,5,15,8,2,6,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1379,Eliminated,5,20,0,2,10,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1380,Eliminated,5,20,2,2,8,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1381,Eliminated,5,20,4,2,6,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1382,Eliminated,10,0,0,3,2,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1383,Eliminated,10,5,0,1,6,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1384,Eliminated,10,5,8,1,8,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1385,Eliminated,10,10,0,2,4,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1386,Eliminated,10,10,2,2,2,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1387,Eliminated,10,10,4,1,10,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1388,Eliminated,10,10,6,1,8,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1389,Eliminated,10,10,10,3,2,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1390,Eliminated,10,15,0,2,10,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1391,Eliminated,10,15,2,3,2,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1392,Eliminated,10,15,10,2,4,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1393,Eliminated,10,20,0,3,10,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1394,Eliminated,10,20,8,3,2,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1395,Eliminated,15,0,10,1,4,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1396,Eliminated,15,5,8,2,0,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1397,Eliminated,15,10,2,1,4,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1398,Eliminated,15,10,4,2,2,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1399,Eliminated,15,10,6,1,8,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1400,Eliminated,15,15,0,1,8,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1401,Eliminated,15,15,2,1,4,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1402,Eliminated,15,15,2,1,10,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1403,Eliminated,15,15,4,1,6,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1404,Eliminated,15,15,4,1,10,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1405,Eliminated,20,0,4,1,0,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1406,Eliminated,20,5,0,1,4,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1407,Eliminated,20,10,4,3,2,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1408,Eliminated,20,10,6,1,6,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1409,Eliminated,20,10,8,3,2,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1410,Eliminated,20,15,0,2,8,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1411,Eliminated,20,15,0,3,6,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1412,Eliminated,20,15,2,2,4,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1413,Eliminated,20,15,6,3,2,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1414,Eliminated,20,20,2,2,4,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1415,Eliminated,20,20,2,3,4,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1416,Eliminated,20,20,2,3,10,70.0%,200,70.0%,-,-,-,-,-,-,-,-,-,-
1417,Eliminated,0,0,0,1,8,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1418,Eliminated,0,0,8,1,2,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1419,Eliminated,0,0,10,2,0,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1420,Eliminated,0,5,0,2,8,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1421,Eliminated,0,10,2,2,10,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1422,Eliminated,5,0,0,3,4,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1423,Eliminated,5,0,4,3,0,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1424,Eliminated,5,5,0,1,10,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1425,Eliminated,5,5,0,2,6,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1426,Eliminated,5,5,4,1,10,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1427,Eliminated,5,10,2,2,6,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1428,Eliminated,5,10,2,3,6,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1429,Eliminated,5,10,10,2,8,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1430,Eliminated,5,20,8,2,10,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1431,Eliminated,10,0,8,1,0,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1432,Eliminated,10,5,0,3,10,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1433,Eliminated,10,5,8,2,0,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1434,Eliminated,10,10,0,2,6,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1435,Eliminated,10,10,2,1,10,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1436,Eliminated,10,10,8,3,2,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1437,Eliminated,10,15,0,3,10,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1438,Eliminated,10,15,2,2,6,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1439,Eliminated,10,15,10,2,2,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1440,Eliminated,15,5,0,2,4,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1441,Eliminated,15,10,0,3,8,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1442,Eliminated,15,15,0,3,6,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1443,Eliminated,15,15,2,3,4,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1444,Eliminated,15,20,4,1,10,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1445,Eliminated,15,20,4,3,2,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1446,Eliminated,20,0,6,2,0,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1447,Eliminated,20,5,0,3,2,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1448,Eliminated,20,5,2,2,0,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1449,Eliminated,20,5,10,3,0,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1450,Eliminated,20,10,0,3,8,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1451,Eliminated,20,10,8,1,0,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1452,Eliminated,20,10,8,1,6,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1453,Eliminated,20,15,10,2,2,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1454,Eliminated,20,20,0,2,10,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1455,Eliminated,20,20,0,3,8,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1456,Eliminated,20,20,10,3,2,69.5%,200,69.5%,-,-,-,-,-,-,-,-,-,-
1457,Eliminated,0,0,0,1,10,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1458,Eliminated,0,0,0,3,0,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1459,Eliminated,0,0,2,1,4,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1460,Eliminated,0,0,4,1,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1461,Eliminated,0,0,6,1,0,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1462,Eliminated,0,5,2,3,4,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1463,Eliminated,0,5,4,2,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1464,Eliminated,0,5,8,2,10,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1465,Eliminated,0,10,6,3,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1466,Eliminated,0,15,4,2,4,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1467,Eliminated,5,0,4,1,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1468,Eliminated,5,5,0,3,8,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1469,Eliminated,5,5,2,2,6,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1470,Eliminated,5,5,6,1,8,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1471,Eliminated,5,10,2,2,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1472,Eliminated,5,10,10,3,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1473,Eliminated,5,15,8,3,4,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1474,Eliminated,10,0,4,3,0,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1475,Eliminated,10,0,8,2,0,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1476,Eliminated,10,5,0,3,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1477,Eliminated,10,10,8,2,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1478,Eliminated,10,15,0,1,8,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1479,Eliminated,10,15,2,1,6,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1480,Eliminated,10,15,2,3,6,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1481,Eliminated,10,15,4,1,10,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1482,Eliminated,10,15,4,2,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1483,Eliminated,15,0,0,2,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1484,Eliminated,15,0,10,1,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1485,Eliminated,15,5,0,1,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1486,Eliminated,15,5,8,1,8,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1487,Eliminated,15,5,8,3,0,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1488,Eliminated,15,10,0,2,6,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1489,Eliminated,15,10,2,1,6,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1490,Eliminated,15,10,6,1,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1491,Eliminated,15,15,0,1,6,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1492,Eliminated,15,15,2,3,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1493,Eliminated,15,15,8,2,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1494,Eliminated,15,20,0,3,6,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1495,Eliminated,15,20,2,1,8,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1496,Eliminated,15,20,8,3,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1497,Eliminated,20,0,4,3,0,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1498,Eliminated,20,5,0,3,4,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1499,Eliminated,20,10,0,2,4,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1500,Eliminated,20,10,0,2,6,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1501,Eliminated,20,10,0,3,4,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1502,Eliminated,20,10,2,1,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1503,Eliminated,20,10,6,1,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1504,Eliminated,20,15,2,2,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1505,Eliminated,20,20,2,1,8,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1506,Eliminated,20,20,8,2,2,69.0%,200,69.0%,-,-,-,-,-,-,-,-,-,-
1507,Eliminated,0,0,0,3,6,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1508,Eliminated,0,0,4,3,0,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1509,Eliminated,0,0,6,1,2,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1510,Eliminated,0,5,0,3,8,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1511,Eliminated,0,5,2,2,2,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1512,Eliminated,0,10,2,3,8,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1513,Eliminated,0,10,6,2,6,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1514,Eliminated,5,0,0,2,2,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1515,Eliminated,5,0,4,2,0,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1516,Eliminated,5,5,2,1,4,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1517,Eliminated,5,15,4,2,4,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1518,Eliminated,5,15,8,3,2,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1519,Eliminated,5,20,4,2,10,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1520,Eliminated,10,0,6,1,0,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1521,Eliminated,10,5,0,1,0,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1522,Eliminated,10,5,2,2,0,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1523,Eliminated,10,5,4,3,0,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1524,Eliminated,10,10,0,3,8,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1525,Eliminated,10,10,2,2,4,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1526,Eliminated,10,10,4,1,4,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1527,Eliminated,10,15,2,1,10,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1528,Eliminated,10,20,4,3,2,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1529,Eliminated,10,20,6,3,2,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1530,Eliminated,10,20,8,2,2,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1531,Eliminated,15,5,0,2,6,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1532,Eliminated,15,15,2,2,2,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1533,Eliminated,15,15,4,2,2,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1534,Eliminated,15,15,6,2,2,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1535,Eliminated,15,20,6,1,6,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1536,Eliminated,20,10,0,3,10,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1537,Eliminated,20,15,0,1,10,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1538,Eliminated,20,15,2,3,2,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1539,Eliminated,20,15,4,1,10,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1540,Eliminated,20,20,0,1,6,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1541,Eliminated,20,20,0,2,8,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1542,Eliminated,20,20,0,3,6,68.5%,200,68.5%,-,-,-,-,-,-,-,-,-,-
1543,Eliminated,0,0,2,1,0,68.0%,200,68.0%,-,-,-,-,-,-,-,-,-,-
1544,Eliminated,0,0,2,1,2,68.0%,200,68.0%,-,-,-,-,-,-,-,-,-,-
1545,Eliminated,0,0,4,1,4,68.0%,200,68.0%,-,-,-,-,-,-,-,-,-,-
1546,Eliminated,0,0,6,1,4,68.0%,200,68.0%,-,-,-,-,-,-,-,-,-,-
