# Tournament Config: startingPlayers=3, gamesPerPhase=100
# Fallbacks: {"2":{"file":"tournament_j3zvExqh9bhYFcfuzihx_older.csv","topX":5}}
Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,AvgCardsBought,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
576,Eliminated,20,0,8,2,8,27.0%,100,0.00,94.0%,36.0%,27.0%,-,-,-,-,-,-,-,-
577,Eliminated,20,0,10,3,8,27.0%,100,0.00,91.0%,38.6%,27.0%,-,-,-,-,-,-,-,-
578,Eliminated,20,10,4,1,6,27.0%,100,0.00,76.0%,37.0%,27.0%,-,-,-,-,-,-,-,-
579,Eliminated,20,10,10,1,8,27.0%,100,0.00,87.0%,48.0%,27.0%,-,-,-,-,-,-,-,-
580,Eliminated,20,15,8,3,10,27.0%,100,0.00,86.0%,47.0%,27.0%,-,-,-,-,-,-,-,-
581,Eliminated,20,15,10,3,8,27.0%,100,0.00,81.0%,35.0%,27.0%,-,-,-,-,-,-,-,-
582,Eliminated,20,20,10,1,8,27.0%,100,0.00,75.0%,38.6%,27.0%,-,-,-,-,-,-,-,-
583,Eliminated,5,20,10,1,6,26.7%,101,0.00,76.0%,34.0%,26.7%,-,-,-,-,-,-,-,-
584,Eliminated,0,0,4,2,6,26.0%,100,0.00,80.0%,34.0%,26.0%,-,-,-,-,-,-,-,-
585,Eliminated,0,0,8,2,10,26.0%,100,0.00,93.0%,36.0%,26.0%,-,-,-,-,-,-,-,-
586,Eliminated,0,20,10,1,10,26.0%,100,0.00,81.0%,36.0%,26.0%,-,-,-,-,-,-,-,-
587,Eliminated,5,0,10,2,10,26.0%,100,0.00,93.0%,34.0%,26.0%,-,-,-,-,-,-,-,-
588,Eliminated,5,5,10,1,6,26.0%,100,0.00,80.0%,47.0%,26.0%,-,-,-,-,-,-,-,-
589,Eliminated,10,0,10,3,8,26.0%,100,0.00,91.0%,38.0%,26.0%,-,-,-,-,-,-,-,-
590,Eliminated,10,5,4,1,10,26.0%,100,0.00,82.0%,43.0%,26.0%,-,-,-,-,-,-,-,-
591,Eliminated,10,5,6,3,8,26.0%,100,0.00,85.0%,42.0%,26.0%,-,-,-,-,-,-,-,-
592,Eliminated,10,15,6,2,10,26.0%,100,0.00,85.0%,37.0%,26.0%,-,-,-,-,-,-,-,-
593,Eliminated,10,15,10,1,10,26.0%,100,0.00,77.0%,57.0%,26.0%,-,-,-,-,-,-,-,-
594,Eliminated,15,0,6,1,10,26.0%,100,0.00,92.0%,36.0%,26.0%,-,-,-,-,-,-,-,-
595,Eliminated,15,0,10,3,8,26.0%,100,0.00,94.0%,36.0%,26.0%,-,-,-,-,-,-,-,-
596,Eliminated,15,10,6,3,10,26.0%,100,0.00,87.0%,37.0%,26.0%,-,-,-,-,-,-,-,-
597,Eliminated,15,15,4,3,8,26.0%,100,0.00,76.0%,38.0%,26.0%,-,-,-,-,-,-,-,-
598,Eliminated,15,20,4,1,8,26.0%,100,0.00,84.0%,43.0%,26.0%,-,-,-,-,-,-,-,-
599,Eliminated,15,20,4,2,8,26.0%,100,0.00,87.0%,37.0%,26.0%,-,-,-,-,-,-,-,-
600,Eliminated,15,20,8,3,8,26.0%,100,0.00,91.0%,43.0%,26.0%,-,-,-,-,-,-,-,-
601,Eliminated,20,15,6,2,10,26.0%,100,0.00,84.0%,46.0%,26.0%,-,-,-,-,-,-,-,-
602,Eliminated,20,15,6,3,6,26.0%,100,0.00,88.0%,44.0%,26.0%,-,-,-,-,-,-,-,-
603,Eliminated,20,20,6,1,4,26.0%,100,0.00,81.0%,39.0%,26.0%,-,-,-,-,-,-,-,-
604,Eliminated,20,20,8,1,8,26.0%,100,0.00,83.0%,42.0%,26.0%,-,-,-,-,-,-,-,-
605,Eliminated,20,20,8,3,6,26.0%,100,0.00,78.0%,35.0%,26.0%,-,-,-,-,-,-,-,-
606,Eliminated,0,0,10,1,4,25.0%,100,0.00,73.0%,48.0%,25.0%,-,-,-,-,-,-,-,-
607,Eliminated,0,0,10,2,10,25.0%,100,0.00,90.0%,35.0%,25.0%,-,-,-,-,-,-,-,-
608,Eliminated,0,20,6,2,10,25.0%,100,0.00,84.0%,45.0%,25.0%,-,-,-,-,-,-,-,-
609,Eliminated,5,0,4,1,10,25.0%,100,0.00,87.0%,36.0%,25.0%,-,-,-,-,-,-,-,-
610,Eliminated,5,5,10,2,10,25.0%,100,0.00,93.0%,42.6%,25.0%,-,-,-,-,-,-,-,-
611,Eliminated,5,15,10,2,6,25.0%,100,0.00,79.0%,35.0%,25.0%,-,-,-,-,-,-,-,-
612,Eliminated,5,20,10,1,8,25.0%,100,0.00,75.0%,49.0%,25.0%,-,-,-,-,-,-,-,-
613,Eliminated,10,0,10,3,10,25.0%,100,0.00,93.0%,38.0%,25.0%,-,-,-,-,-,-,-,-
614,Eliminated,10,5,4,3,6,25.0%,100,0.00,77.0%,34.0%,25.0%,-,-,-,-,-,-,-,-
615,Eliminated,10,10,10,1,10,25.0%,100,0.00,81.0%,35.0%,25.0%,-,-,-,-,-,-,-,-
616,Eliminated,10,15,10,2,8,25.0%,100,0.00,91.0%,34.0%,25.0%,-,-,-,-,-,-,-,-
617,Eliminated,15,0,6,3,10,25.0%,100,0.00,92.0%,38.0%,25.0%,-,-,-,-,-,-,-,-
618,Eliminated,15,5,4,2,10,25.0%,100,0.00,80.0%,36.0%,25.0%,-,-,-,-,-,-,-,-
619,Eliminated,15,10,6,2,8,25.0%,100,0.00,92.0%,38.0%,25.0%,-,-,-,-,-,-,-,-
620,Eliminated,15,10,6,2,10,25.0%,100,0.00,88.0%,35.0%,25.0%,-,-,-,-,-,-,-,-
621,Eliminated,15,15,6,3,8,25.0%,100,0.00,81.0%,39.0%,25.0%,-,-,-,-,-,-,-,-
622,Eliminated,15,20,4,1,10,25.0%,100,0.00,77.0%,42.0%,25.0%,-,-,-,-,-,-,-,-
623,Eliminated,20,0,10,2,8,25.0%,100,0.00,92.0%,34.0%,25.0%,-,-,-,-,-,-,-,-
624,Eliminated,20,15,6,3,10,25.0%,100,0.00,86.0%,50.0%,25.0%,-,-,-,-,-,-,-,-
625,Eliminated,20,15,10,3,10,25.0%,100,0.00,90.0%,44.0%,25.0%,-,-,-,-,-,-,-,-
626,Eliminated,0,15,4,2,8,24.8%,101,0.00,78.0%,34.0%,24.8%,-,-,-,-,-,-,-,-
627,Eliminated,0,0,8,3,4,24.0%,100,0.00,67.0%,41.0%,24.0%,-,-,-,-,-,-,-,-
628,Eliminated,0,0,10,2,4,24.0%,100,0.00,80.0%,39.0%,24.0%,-,-,-,-,-,-,-,-
629,Eliminated,0,20,4,3,6,24.0%,100,0.00,71.0%,37.0%,24.0%,-,-,-,-,-,-,-,-
630,Eliminated,5,0,10,3,8,24.0%,100,0.00,93.0%,35.0%,24.0%,-,-,-,-,-,-,-,-
631,Eliminated,5,10,8,2,4,24.0%,100,0.00,81.0%,36.0%,24.0%,-,-,-,-,-,-,-,-
632,Eliminated,5,15,8,1,8,24.0%,100,0.00,84.0%,40.0%,24.0%,-,-,-,-,-,-,-,-
633,Eliminated,5,20,2,3,10,24.0%,100,0.00,81.0%,34.0%,24.0%,-,-,-,-,-,-,-,-
634,Eliminated,10,0,4,3,10,24.0%,100,0.00,89.0%,36.0%,24.0%,-,-,-,-,-,-,-,-
635,Eliminated,15,0,6,2,10,24.0%,100,0.00,92.0%,41.0%,24.0%,-,-,-,-,-,-,-,-
636,Eliminated,15,0,8,2,6,24.0%,100,0.00,91.0%,34.7%,24.0%,-,-,-,-,-,-,-,-
637,Eliminated,15,0,8,3,10,24.0%,100,0.00,88.0%,44.0%,24.0%,-,-,-,-,-,-,-,-
638,Eliminated,15,20,6,2,6,24.0%,100,0.00,77.0%,37.0%,24.0%,-,-,-,-,-,-,-,-
639,Eliminated,15,20,6,2,8,24.0%,100,0.00,81.0%,38.0%,24.0%,-,-,-,-,-,-,-,-
640,Eliminated,15,20,10,2,8,24.0%,100,0.00,86.0%,34.0%,24.0%,-,-,-,-,-,-,-,-
641,Eliminated,20,0,10,1,10,24.0%,100,0.00,95.0%,39.0%,24.0%,-,-,-,-,-,-,-,-
642,Eliminated,20,0,10,2,10,24.0%,100,0.00,91.0%,39.0%,24.0%,-,-,-,-,-,-,-,-
643,Eliminated,20,5,4,2,6,24.0%,100,0.00,75.0%,37.0%,24.0%,-,-,-,-,-,-,-,-
644,Eliminated,20,15,4,2,8,24.0%,100,0.00,80.0%,35.0%,24.0%,-,-,-,-,-,-,-,-
645,Eliminated,20,15,10,1,10,24.0%,100,0.00,77.0%,40.0%,24.0%,-,-,-,-,-,-,-,-
646,Eliminated,20,20,4,1,6,24.0%,100,0.00,79.0%,39.0%,24.0%,-,-,-,-,-,-,-,-
647,Eliminated,0,10,10,3,8,23.0%,100,0.00,88.0%,40.0%,23.0%,-,-,-,-,-,-,-,-
648,Eliminated,5,20,4,1,10,23.0%,100,0.00,82.0%,35.0%,23.0%,-,-,-,-,-,-,-,-
649,Eliminated,15,0,10,1,10,23.0%,100,0.00,93.0%,40.0%,23.0%,-,-,-,-,-,-,-,-
650,Eliminated,15,15,4,2,8,23.0%,100,0.00,79.0%,34.0%,23.0%,-,-,-,-,-,-,-,-
651,Eliminated,15,20,6,3,8,23.0%,100,0.00,83.0%,36.0%,23.0%,-,-,-,-,-,-,-,-
652,Eliminated,15,20,10,3,8,23.0%,100,0.00,86.0%,44.0%,23.0%,-,-,-,-,-,-,-,-
653,Eliminated,20,10,6,3,6,23.0%,100,0.00,78.0%,38.0%,23.0%,-,-,-,-,-,-,-,-
654,Eliminated,5,0,10,1,8,22.0%,100,0.00,90.0%,45.0%,22.0%,-,-,-,-,-,-,-,-
655,Eliminated,10,0,8,3,10,22.0%,100,0.00,95.0%,49.0%,22.0%,-,-,-,-,-,-,-,-
656,Eliminated,10,20,2,1,10,22.0%,100,0.00,71.0%,34.0%,22.0%,-,-,-,-,-,-,-,-
657,Eliminated,15,0,6,1,8,22.0%,100,0.00,92.0%,43.0%,22.0%,-,-,-,-,-,-,-,-
658,Eliminated,15,0,8,3,8,22.0%,100,0.00,92.0%,39.0%,22.0%,-,-,-,-,-,-,-,-
659,Eliminated,15,0,10,2,10,22.0%,100,0.00,88.0%,37.0%,22.0%,-,-,-,-,-,-,-,-
660,Eliminated,15,5,4,1,10,22.0%,100,0.00,88.0%,42.0%,22.0%,-,-,-,-,-,-,-,-
661,Eliminated,15,20,4,2,10,22.0%,100,0.00,77.0%,35.0%,22.0%,-,-,-,-,-,-,-,-
662,Eliminated,20,20,10,1,10,22.0%,100,0.00,69.0%,45.0%,22.0%,-,-,-,-,-,-,-,-
663,Eliminated,5,20,4,1,6,21.0%,100,0.00,76.0%,37.0%,21.0%,-,-,-,-,-,-,-,-
664,Eliminated,10,0,6,1,10,21.0%,100,0.00,92.0%,37.0%,21.0%,-,-,-,-,-,-,-,-
665,Eliminated,10,0,8,2,10,21.0%,100,0.00,94.0%,37.0%,21.0%,-,-,-,-,-,-,-,-
666,Eliminated,20,0,6,2,10,21.0%,100,0.00,91.0%,45.0%,21.0%,-,-,-,-,-,-,-,-
667,Eliminated,5,5,10,1,10,20.0%,100,0.00,82.0%,36.0%,20.0%,-,-,-,-,-,-,-,-
668,Eliminated,5,10,10,1,8,20.0%,100,0.00,77.0%,36.0%,20.0%,-,-,-,-,-,-,-,-
669,Eliminated,10,20,4,1,4,20.0%,100,0.00,79.0%,35.0%,20.0%,-,-,-,-,-,-,-,-
670,Eliminated,15,0,8,2,8,20.0%,100,0.00,92.0%,37.0%,20.0%,-,-,-,-,-,-,-,-
671,Eliminated,15,10,4,3,6,20.0%,100,0.00,72.0%,34.0%,20.0%,-,-,-,-,-,-,-,-
672,Eliminated,20,0,6,1,8,20.0%,100,0.00,97.0%,42.0%,20.0%,-,-,-,-,-,-,-,-
673,Eliminated,20,0,8,1,8,20.0%,100,0.00,88.0%,34.0%,20.0%,-,-,-,-,-,-,-,-
674,Eliminated,15,5,4,2,6,18.0%,100,0.00,80.0%,36.0%,18.0%,-,-,-,-,-,-,-,-
675,Eliminated,15,0,6,2,8,16.0%,100,0.00,89.0%,36.0%,16.0%,-,-,-,-,-,-,-,-
676,Eliminated,0,15,8,1,4,33.0%,100,0.00,74.0%,33.0%,-,-,-,-,-,-,-,-,-
677,Eliminated,0,20,6,3,8,33.0%,100,0.00,79.0%,33.0%,-,-,-,-,-,-,-,-,-
678,Eliminated,0,20,8,1,4,33.0%,100,0.00,69.0%,33.0%,-,-,-,-,-,-,-,-,-
679,Eliminated,0,20,10,1,8,33.0%,100,0.00,79.0%,33.0%,-,-,-,-,-,-,-,-,-
680,Eliminated,5,0,4,1,4,33.0%,100,0.00,82.0%,33.0%,-,-,-,-,-,-,-,-,-
681,Eliminated,5,0,6,2,8,33.0%,100,0.00,92.0%,33.0%,-,-,-,-,-,-,-,-,-
682,Eliminated,5,0,6,3,10,33.0%,100,0.00,90.0%,33.0%,-,-,-,-,-,-,-,-,-
683,Eliminated,5,5,6,3,6,33.0%,100,0.00,85.0%,33.0%,-,-,-,-,-,-,-,-,-
684,Eliminated,5,5,8,3,6,33.0%,100,0.00,77.0%,33.0%,-,-,-,-,-,-,-,-,-
685,Eliminated,5,10,4,1,10,33.0%,100,0.00,84.0%,33.0%,-,-,-,-,-,-,-,-,-
686,Eliminated,5,10,4,2,8,33.0%,100,0.00,84.0%,33.0%,-,-,-,-,-,-,-,-,-
687,Eliminated,5,10,4,2,10,33.0%,100,0.00,83.0%,33.0%,-,-,-,-,-,-,-,-,-
688,Eliminated,5,10,10,2,8,33.0%,100,0.00,88.0%,33.0%,-,-,-,-,-,-,-,-,-
689,Eliminated,5,15,4,1,4,33.0%,100,0.00,68.0%,33.0%,-,-,-,-,-,-,-,-,-
690,Eliminated,5,15,4,1,6,33.0%,100,0.00,75.0%,33.0%,-,-,-,-,-,-,-,-,-
691,Eliminated,5,15,6,2,4,33.0%,100,0.00,69.0%,33.0%,-,-,-,-,-,-,-,-,-
692,Eliminated,5,15,6,3,10,33.0%,100,0.00,81.0%,33.0%,-,-,-,-,-,-,-,-,-
693,Eliminated,5,20,6,3,6,33.0%,100,0.00,81.0%,33.0%,-,-,-,-,-,-,-,-,-
694,Eliminated,10,0,6,2,8,33.0%,100,0.00,93.0%,33.0%,-,-,-,-,-,-,-,-,-
695,Eliminated,10,0,10,1,8,33.0%,100,0.00,93.0%,33.0%,-,-,-,-,-,-,-,-,-
696,Eliminated,10,5,8,3,6,33.0%,100,0.00,86.0%,33.0%,-,-,-,-,-,-,-,-,-
697,Eliminated,10,5,10,1,2,33.0%,100,0.00,76.0%,33.0%,-,-,-,-,-,-,-,-,-
698,Eliminated,10,20,4,1,8,33.0%,100,0.00,85.0%,33.0%,-,-,-,-,-,-,-,-,-
699,Eliminated,10,20,6,2,6,33.0%,100,0.00,76.0%,33.0%,-,-,-,-,-,-,-,-,-
700,Eliminated,10,20,6,3,6,33.0%,100,0.00,78.0%,33.0%,-,-,-,-,-,-,-,-,-
701,Eliminated,15,0,6,3,6,33.0%,100,0.00,91.0%,33.0%,-,-,-,-,-,-,-,-,-
702,Eliminated,15,5,10,2,8,33.0%,100,0.00,89.0%,33.0%,-,-,-,-,-,-,-,-,-
703,Eliminated,15,10,4,1,8,33.0%,100,0.00,70.0%,33.0%,-,-,-,-,-,-,-,-,-
704,Eliminated,15,10,10,2,10,33.0%,100,0.00,93.0%,33.0%,-,-,-,-,-,-,-,-,-
705,Eliminated,15,15,4,1,4,33.0%,100,0.00,71.0%,33.0%,-,-,-,-,-,-,-,-,-
706,Eliminated,15,15,6,1,4,33.0%,100,0.00,79.0%,33.0%,-,-,-,-,-,-,-,-,-
707,Eliminated,20,0,8,1,6,33.0%,100,0.00,88.0%,33.0%,-,-,-,-,-,-,-,-,-
708,Eliminated,20,0,8,3,6,33.0%,100,0.00,84.0%,33.0%,-,-,-,-,-,-,-,-,-
709,Eliminated,20,5,4,3,10,33.0%,100,0.00,83.0%,33.0%,-,-,-,-,-,-,-,-,-
710,Eliminated,20,5,6,1,4,33.0%,100,0.00,74.0%,33.0%,-,-,-,-,-,-,-,-,-
711,Eliminated,20,10,4,2,10,33.0%,100,0.00,81.0%,33.0%,-,-,-,-,-,-,-,-,-
712,Eliminated,20,10,4,3,6,33.0%,100,0.00,69.0%,33.0%,-,-,-,-,-,-,-,-,-
713,Eliminated,20,15,6,3,8,33.0%,100,0.00,85.0%,33.0%,-,-,-,-,-,-,-,-,-
714,Eliminated,20,20,4,1,10,33.0%,100,0.00,76.0%,33.0%,-,-,-,-,-,-,-,-,-
715,Eliminated,20,20,8,2,4,33.0%,100,0.00,68.0%,33.0%,-,-,-,-,-,-,-,-,-
716,Eliminated,20,20,8,2,8,33.0%,100,0.00,89.0%,33.0%,-,-,-,-,-,-,-,-,-
717,Eliminated,20,20,10,2,10,33.0%,100,0.00,87.0%,33.0%,-,-,-,-,-,-,-,-,-
718,Eliminated,0,10,6,1,8,32.7%,101,0.00,74.0%,32.7%,-,-,-,-,-,-,-,-,-
719,Eliminated,20,15,8,3,8,32.4%,102,0.00,88.0%,32.4%,-,-,-,-,-,-,-,-,-
720,Eliminated,0,5,6,1,10,32.0%,100,0.00,84.0%,32.0%,-,-,-,-,-,-,-,-,-
721,Eliminated,0,5,8,2,8,32.0%,100,0.00,90.0%,32.0%,-,-,-,-,-,-,-,-,-
722,Eliminated,0,10,2,2,8,32.0%,100,0.00,68.0%,32.0%,-,-,-,-,-,-,-,-,-
723,Eliminated,0,10,4,2,6,32.0%,100,0.00,67.0%,32.0%,-,-,-,-,-,-,-,-,-
724,Eliminated,0,10,4,2,10,32.0%,100,0.00,72.0%,32.0%,-,-,-,-,-,-,-,-,-
725,Eliminated,0,15,2,2,10,32.0%,100,0.00,75.0%,32.0%,-,-,-,-,-,-,-,-,-
726,Eliminated,0,15,6,1,8,32.0%,100,0.00,73.0%,32.0%,-,-,-,-,-,-,-,-,-
727,Eliminated,0,15,10,2,4,32.0%,100,0.00,81.0%,32.0%,-,-,-,-,-,-,-,-,-
728,Eliminated,0,20,6,1,6,32.0%,100,0.00,78.0%,32.0%,-,-,-,-,-,-,-,-,-
729,Eliminated,0,20,8,1,6,32.0%,100,0.00,77.0%,32.0%,-,-,-,-,-,-,-,-,-
730,Eliminated,5,0,10,3,10,32.0%,100,0.00,95.0%,32.0%,-,-,-,-,-,-,-,-,-
731,Eliminated,5,5,2,3,10,32.0%,100,0.00,76.0%,32.0%,-,-,-,-,-,-,-,-,-
732,Eliminated,5,5,4,3,4,32.0%,100,0.00,74.0%,32.0%,-,-,-,-,-,-,-,-,-
733,Eliminated,5,5,4,3,10,32.0%,100,0.00,83.0%,32.0%,-,-,-,-,-,-,-,-,-
734,Eliminated,5,5,6,3,4,32.0%,100,0.00,70.0%,32.0%,-,-,-,-,-,-,-,-,-
735,Eliminated,5,10,4,1,8,32.0%,100,0.00,78.0%,32.0%,-,-,-,-,-,-,-,-,-
736,Eliminated,5,15,4,1,8,32.0%,100,0.00,75.0%,32.0%,-,-,-,-,-,-,-,-,-
737,Eliminated,5,15,10,2,4,32.0%,100,0.00,71.0%,32.0%,-,-,-,-,-,-,-,-,-
738,Eliminated,5,15,10,2,10,32.0%,100,0.00,89.0%,32.0%,-,-,-,-,-,-,-,-,-
739,Eliminated,5,20,6,3,4,32.0%,100,0.00,71.0%,32.0%,-,-,-,-,-,-,-,-,-
740,Eliminated,10,0,2,3,8,32.0%,100,0.00,83.0%,32.0%,-,-,-,-,-,-,-,-,-
741,Eliminated,10,0,6,3,6,32.0%,100,0.00,90.0%,32.0%,-,-,-,-,-,-,-,-,-
742,Eliminated,10,5,4,3,10,32.0%,100,0.00,85.0%,32.0%,-,-,-,-,-,-,-,-,-
743,Eliminated,10,5,10,3,8,32.0%,100,0.00,91.0%,32.0%,-,-,-,-,-,-,-,-,-
744,Eliminated,10,10,4,1,10,32.0%,100,0.00,78.0%,32.0%,-,-,-,-,-,-,-,-,-
745,Eliminated,10,10,4,2,10,32.0%,100,0.00,78.0%,32.0%,-,-,-,-,-,-,-,-,-
746,Eliminated,10,20,6,2,8,32.0%,100,0.00,85.0%,32.0%,-,-,-,-,-,-,-,-,-
747,Eliminated,15,0,4,1,10,32.0%,100,0.00,91.0%,32.0%,-,-,-,-,-,-,-,-,-
748,Eliminated,15,0,4,2,8,32.0%,100,0.00,85.0%,32.0%,-,-,-,-,-,-,-,-,-
749,Eliminated,15,5,4,1,4,32.0%,100,0.00,76.0%,32.0%,-,-,-,-,-,-,-,-,-
750,Eliminated,15,5,8,3,6,32.0%,100,0.00,81.0%,32.0%,-,-,-,-,-,-,-,-,-
751,Eliminated,15,10,4,1,6,32.0%,100,0.00,76.0%,32.0%,-,-,-,-,-,-,-,-,-
752,Eliminated,15,10,6,1,4,32.0%,100,0.00,74.0%,32.0%,-,-,-,-,-,-,-,-,-
753,Eliminated,15,10,10,1,10,32.0%,100,0.00,78.0%,32.0%,-,-,-,-,-,-,-,-,-
754,Eliminated,15,15,2,1,10,32.0%,100,0.00,70.0%,32.0%,-,-,-,-,-,-,-,-,-
755,Eliminated,15,15,6,2,6,32.0%,100,0.00,75.0%,32.0%,-,-,-,-,-,-,-,-,-
756,Eliminated,15,15,8,2,4,32.0%,100,0.00,68.0%,32.0%,-,-,-,-,-,-,-,-,-
757,Eliminated,15,15,10,3,10,32.0%,100,0.00,92.0%,32.0%,-,-,-,-,-,-,-,-,-
758,Eliminated,15,20,2,1,8,32.0%,100,0.00,76.0%,32.0%,-,-,-,-,-,-,-,-,-
759,Eliminated,15,20,4,3,10,32.0%,100,0.00,84.0%,32.0%,-,-,-,-,-,-,-,-,-
760,Eliminated,15,20,6,2,4,32.0%,100,0.00,71.0%,32.0%,-,-,-,-,-,-,-,-,-
761,Eliminated,20,0,6,3,8,32.0%,100,0.00,95.0%,32.0%,-,-,-,-,-,-,-,-,-
762,Eliminated,20,0,6,3,10,32.0%,100,0.00,93.0%,32.0%,-,-,-,-,-,-,-,-,-
763,Eliminated,20,5,2,1,10,32.0%,100,0.00,74.0%,32.0%,-,-,-,-,-,-,-,-,-
764,Eliminated,20,5,4,3,8,32.0%,100,0.00,77.0%,32.0%,-,-,-,-,-,-,-,-,-
765,Eliminated,20,5,10,3,10,32.0%,100,0.00,89.0%,32.0%,-,-,-,-,-,-,-,-,-
766,Eliminated,20,10,4,2,8,32.0%,100,0.00,76.0%,32.0%,-,-,-,-,-,-,-,-,-
767,Eliminated,20,10,4,3,10,32.0%,100,0.00,77.0%,32.0%,-,-,-,-,-,-,-,-,-
768,Eliminated,20,10,10,2,6,32.0%,100,0.00,76.0%,32.0%,-,-,-,-,-,-,-,-,-
769,Eliminated,20,15,4,1,10,32.0%,100,0.00,86.0%,32.0%,-,-,-,-,-,-,-,-,-
770,Eliminated,20,15,6,2,6,32.0%,100,0.00,76.0%,32.0%,-,-,-,-,-,-,-,-,-
771,Eliminated,20,15,8,2,8,32.0%,100,0.00,84.0%,32.0%,-,-,-,-,-,-,-,-,-
772,Eliminated,20,15,10,2,10,32.0%,100,0.00,89.0%,32.0%,-,-,-,-,-,-,-,-,-
773,Eliminated,10,15,10,1,2,31.7%,101,0.00,73.0%,31.7%,-,-,-,-,-,-,-,-,-
774,Eliminated,15,10,4,1,4,31.7%,101,0.00,76.0%,31.7%,-,-,-,-,-,-,-,-,-
775,Eliminated,20,20,4,2,10,31.7%,101,0.00,81.0%,31.7%,-,-,-,-,-,-,-,-,-
776,Eliminated,0,0,8,2,4,31.0%,100,0.00,76.0%,31.0%,-,-,-,-,-,-,-,-,-
777,Eliminated,0,0,10,2,8,31.0%,100,0.00,89.0%,31.0%,-,-,-,-,-,-,-,-,-
778,Eliminated,0,5,2,1,10,31.0%,100,0.00,79.0%,31.0%,-,-,-,-,-,-,-,-,-
779,Eliminated,0,5,4,1,6,31.0%,100,0.00,74.0%,31.0%,-,-,-,-,-,-,-,-,-
780,Eliminated,0,5,4,2,8,31.0%,100,0.00,78.0%,31.0%,-,-,-,-,-,-,-,-,-
781,Eliminated,0,10,4,1,8,31.0%,100,0.00,70.0%,31.0%,-,-,-,-,-,-,-,-,-
782,Eliminated,0,10,4,2,8,31.0%,100,0.00,79.0%,31.0%,-,-,-,-,-,-,-,-,-
783,Eliminated,0,10,8,1,6,31.0%,100,0.00,80.0%,31.0%,-,-,-,-,-,-,-,-,-
784,Eliminated,0,15,10,3,10,31.0%,100,0.00,83.0%,31.0%,-,-,-,-,-,-,-,-,-
785,Eliminated,0,20,4,2,10,31.0%,100,0.00,77.0%,31.0%,-,-,-,-,-,-,-,-,-
786,Eliminated,5,0,8,1,4,31.0%,100,0.00,85.0%,31.0%,-,-,-,-,-,-,-,-,-
787,Eliminated,5,0,8,2,6,31.0%,100,0.00,86.0%,31.0%,-,-,-,-,-,-,-,-,-
788,Eliminated,5,0,8,3,4,31.0%,100,0.00,75.0%,31.0%,-,-,-,-,-,-,-,-,-
789,Eliminated,5,5,4,1,4,31.0%,100,0.00,74.0%,31.0%,-,-,-,-,-,-,-,-,-
790,Eliminated,5,5,8,3,10,31.0%,100,0.00,89.0%,31.0%,-,-,-,-,-,-,-,-,-
791,Eliminated,5,10,4,2,6,31.0%,100,0.00,75.0%,31.0%,-,-,-,-,-,-,-,-,-
792,Eliminated,5,10,6,3,6,31.0%,100,0.00,85.0%,31.0%,-,-,-,-,-,-,-,-,-
793,Eliminated,5,10,8,1,4,31.0%,100,0.00,77.0%,31.0%,-,-,-,-,-,-,-,-,-
794,Eliminated,5,10,10,1,6,31.0%,100,0.00,81.0%,31.0%,-,-,-,-,-,-,-,-,-
795,Eliminated,5,15,4,2,10,31.0%,100,0.00,74.0%,31.0%,-,-,-,-,-,-,-,-,-
796,Eliminated,5,15,6,3,6,31.0%,100,0.00,82.0%,31.0%,-,-,-,-,-,-,-,-,-
797,Eliminated,5,15,10,1,6,31.0%,100,0.00,79.0%,31.0%,-,-,-,-,-,-,-,-,-
798,Eliminated,5,15,10,1,8,31.0%,100,0.00,73.0%,31.0%,-,-,-,-,-,-,-,-,-
799,Eliminated,5,20,2,2,10,31.0%,100,0.00,75.0%,31.0%,-,-,-,-,-,-,-,-,-
800,Eliminated,5,20,4,2,6,31.0%,100,0.00,74.0%,31.0%,-,-,-,-,-,-,-,-,-
801,Eliminated,5,20,4,3,6,31.0%,100,0.00,80.0%,31.0%,-,-,-,-,-,-,-,-,-
802,Eliminated,10,0,4,1,10,31.0%,100,0.00,89.0%,31.0%,-,-,-,-,-,-,-,-,-
803,Eliminated,10,5,2,1,10,31.0%,100,0.00,72.0%,31.0%,-,-,-,-,-,-,-,-,-
804,Eliminated,10,5,4,2,8,31.0%,100,0.00,79.0%,31.0%,-,-,-,-,-,-,-,-,-
805,Eliminated,10,10,10,2,6,31.0%,100,0.00,78.0%,31.0%,-,-,-,-,-,-,-,-,-
806,Eliminated,10,15,8,3,6,31.0%,100,0.00,84.0%,31.0%,-,-,-,-,-,-,-,-,-
807,Eliminated,10,15,10,2,10,31.0%,100,0.00,92.0%,31.0%,-,-,-,-,-,-,-,-,-
808,Eliminated,10,20,4,1,6,31.0%,100,0.00,81.0%,31.0%,-,-,-,-,-,-,-,-,-
809,Eliminated,10,20,10,2,6,31.0%,100,0.00,81.0%,31.0%,-,-,-,-,-,-,-,-,-
810,Eliminated,15,0,8,3,6,31.0%,100,0.00,88.0%,31.0%,-,-,-,-,-,-,-,-,-
811,Eliminated,15,0,10,1,6,31.0%,100,0.00,90.0%,31.0%,-,-,-,-,-,-,-,-,-
812,Eliminated,15,5,2,1,8,31.0%,100,0.00,80.0%,31.0%,-,-,-,-,-,-,-,-,-
